P_SUID,YEAR_FROM_CODATE,HAPPY,SATIS_A,SATIS_B,CHNG_A,CHNG_B,CHNG_C,DIVRELPOP,DIVRACPOP,QB2A,QB2C,QB2D,OPENIDEN,POORASSIST,GOVSIZE1,ABRTLGL,GAYMARR,PAR2CHILD,PAR2CHILDA,CLIM1A,EVOL,GUIDE_A,GUIDE_B,GUIDE_C,GUIDE_D,RELTRAD,CURREL,UNAFFILDETAIL,BORNFINAL,RELPER,SPIRPER,RELCON_A,RELCON_B,RELCON_C,RELCON_D,RELCON_E,ATTNDPERRLS,ATTNDONRLS,CONGRACE,LEADRACE,RELIMP,MEMB,GOD,GOD2,HVN,HLL,SOUL,BIBIMP,HUMNTR_A,HUMNTR_B,PRAY,GRACE,PRAC_A,PRAC_B,PRAC_C,PRAC_D,EXP_A,EXP_B,EXP_C,EXP_D,EXP_E,EXP_F,EXP_G,SPIRACT_A,SPIRACT_B,SPIRACT_C,SPIRACT_D,SPIRACT_E,SPIRACT_F,RTRT,SECMEMB,VOL12_CPS,SCIMPACT,RELIMPACT,SCRLCON1,SPIRWORLD2,SECBEL1,SECBEL2,FRMREL,CHBORNFINAL,CHIMPREL_A,CHIMPREL_B,CHATTEND,CHCONGRACE,CHEDU1,CHEDU2,LIFEDIR,LIFESPIR,GTHGHT,MARITAL,RELMATCH,SPRELIMP,SPRELTALK,SPRELSIM,MARWHENREC,CHILDREN,KIDACT_A,KIDACT_B,KIDACT_C,RELINST_A,RELINST_B,RELINST_D,RELINST_E,RELINST_F,RELINST_G,SCPRY1,SCPRY2,RELDISP,CHRNAT,BIRTHDECADE,HISP,RACECMB,AFROHISP,EDUCREC,E2,EMPLSIT,USGEN,YEARLOCREC,MOVED,REG,PARTY,PARTYLN,IDEO,HH1REC,HH3REC,INTFREQ,INC_SDT1,GENDER,FERTREC
10043930,2023,1,2,1,1,1,3,2,1,2,2,1,1,1,2,3,3,1,1,3,3,1,3,2,1,1100,1000,9,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,2,2,1,1000,1,1,1,1,1,4,4,1,1,1,3,,,,,,2,,,,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,3,5,3,4,2,1,2,,2,1,,2,1,2,3
10043950,2023,2,1,2,3,1,1,3,3,1,2,2,1,1,2,1,1,1,1,77,99,99,99,99,99,100000,100000,3,,4,3,2,2,2,2,2,5,6,,,4,2,1,1,1,1,1,99,1,1,99,5,5,5,5,5,5,2,3,5,5,2,3,5,1,4,5,5,2,5,2,2,99,99,1,2,2,1,100000,,4,4,5,,1,2,4,4,1,2,0,1,4,99,,1,2,2,2,99,1,1,99,1,99,4,4,4,4,6,2,9,2,3,3,1,99,1,2,2,2,,3,99,,1,99,2,1
10044030,2024,2,2,2,3,1,1,2,1,1,1,2,1,1,2,2,2,2,,3,2,1,1,1,1,1100,1000,9,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,4,1,4,1,5,1,1,1,5,2,1,1,5,1,5,2,2,3,2,1,2,2,1,1000,2,1,2,2,2,1,1,1,1,1,1,0,1,2,2,3,2,,,,1,1,1,1,1,99,1,1,1,2,1,2,4,2,1,3,5,3,4,1,1,2,,1,2,2,4,2,2,1
10044040,2023,3,3,3,1,1,1,1,1,1,1,2,1,2,1,2,2,2,,77,1,5,1,1,1,100000,100000,3,,4,3,2,2,2,2,2,6,6,,,4,2,2,4,1,1,1,4,,,6,5,5,5,5,5,2,1,2,4,2,1,1,5,5,2,5,5,5,5,3,1,3,1,1,2,2,2,1000,1,2,2,2,1,4,4,2,2,3,2,0,4,2,1,,1,2,1,2,1,1,1,2,2,2,2,2,3,3,5,2,1,2,2,3,1,3,4,1,1,4,1,3,3,2,1,6,1,1
10044050,2023,2,3,2,99,1,2,1,1,1,2,1,1,99,1,2,1,1,1,1,2,3,2,1,2,40002,40002,9,2,3,2,2,1,2,2,2,6,5,,,2,2,1,1,1,1,1,3,1,1,5,4,5,5,5,5,3,1,1,1,3,1,1,4,2,4,4,5,4,5,2,2,3,3,1,2,2,1,1000,2,2,1,2,2,1,2,4,4,1,1,1,3,4,2,7,2,,,,1,1,1,2,99,1,1,1,2,3,4,2,2,2,2,3,1,3,1,2,1,2,,2,2,2,1,6,1,2
10044170,2023,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,,1,1,3,1,2,2,90002,90002,9,,4,1,2,2,2,2,2,5,6,,,4,2,1,1,2,2,1,3,5,1,2,2,5,4,2,3,1,1,1,1,1,1,1,1,2,2,1,4,1,2,2,1,2,3,2,2,2,2,1000,2,1,1,2,1,1,4,2,1,1,6,,,,,,2,,,,1,1,1,1,1,1,4,4,4,4,1,2,1,2,4,3,5,3,4,2,1,4,2,5,2,99,2,2,2,0
10044180,2023,2,3,3,3,1,3,3,1,1,2,2,2,2,1,99,1,1,3,77,3,2,1,1,2,1200,1000,9,99,3,3,2,2,2,2,2,4,5,6,1,2,2,1,1,1,2,1,3,1,1,2,3,5,5,5,5,4,2,4,5,4,3,3,5,3,5,5,5,5,5,2,2,3,3,2,2,1,2,40001,98,4,2,4,6,1,1,99,99,99,1,0,99,99,99,8,1,99,99,99,99,99,99,99,99,99,99,99,1,1,5,2,1,2,3,3,1,3,2,2,1,1,,3,3,2,1,7,2,0
10044280,2023,1,1,1,1,1,1,1,1,1,1,2,1,1,2,4,2,2,,1,3,1,1,1,1,10000,10000,9,1,2,2,2,3,2,2,2,3,5,4,4,2,1,1,1,1,1,1,3,1,1,2,3,4,4,4,4,4,4,3,3,4,4,3,4,2,4,4,5,4,4,2,2,3,3,1,2,2,1,10000,1,2,2,4,4,1,1,3,3,2,1,0,1,2,1,99,1,1,2,2,2,2,2,1,1,1,1,2,2,2,99,1,5,2,2,3,1,1,99,1,2,4,99,1,3,3,1,3,1,4
10044340,2023,3,4,2,3,1,1,1,1,1,2,1,1,1,2,1,1,1,3,1,1,3,1,1,1,100000,100000,3,,3,2,2,2,2,2,2,5,6,,,3,2,1,2,1,1,1,4,5,5,6,2,5,5,5,4,1,1,1,4,1,1,1,2,1,5,1,5,5,5,2,1,2,1,1,2,1,2,1000,2,2,1,2,6,1,2,2,1,3,2,0,2,5,2,,2,,,,1,1,1,1,1,1,3,3,3,4,2,2,1,2,3,3,5,3,4,2,2,2,,4,2,2,2,1,1,4
10044380,2023,2,2,3,3,3,3,3,3,1,2,1,1,3,1,2,2,1,3,77,1,3,2,2,2,100000,100000,3,,3,3,99,99,99,1,99,5,4,,,3,2,2,2,2,2,2,4,,,6,5,5,4,4,5,4,4,3,5,3,3,4,5,5,5,5,5,5,5,3,2,2,3,1,1,1,2,60000,,2,2,4,1,1,1,4,4,4,6,,,,,,2,,,,2,1,1,2,2,2,3,3,3,3,2,2,1,2,3,3,1,1,4,2,1,3,1,3,1,,1,5,1,0
10044410,2023,2,2,3,1,1,1,1,1,1,2,99,1,3,1,2,1,1,3,1,2,3,2,2,2,10000,10000,9,2,2,2,2,3,2,2,2,2,5,1,1,2,1,1,1,1,2,1,3,2,1,1,2,5,5,1,4,2,4,3,4,4,3,3,5,4,5,1,5,99,5,3,2,2,3,1,2,2,2,10000,2,2,2,2,1,4,2,3,1,1,6,,,,,,2,,,,1,1,1,2,2,1,3,3,2,3,3,2,1,2,4,3,2,3,4,2,1,2,,4,1,,2,5,1,0
10044450,2023,2,2,2,2,3,2,3,1,1,1,2,2,2,1,3,2,2,,3,1,3,1,2,1,10000,10000,9,2,2,2,2,3,2,2,2,5,4,,,3,2,1,1,1,1,1,4,2,2,7,4,5,5,5,4,4,5,2,5,5,3,4,5,5,5,5,5,5,5,3,1,2,3,1,2,2,2,10000,2,2,1,2,1,1,3,2,2,3,3,,,,,,1,2,2,2,2,2,2,1,1,1,2,1,2,2,5,2,1,2,3,3,1,3,3,2,1,1,,2,3,1,1,6,1,2
10044480,2023,2,2,2,99,99,99,99,99,1,2,99,99,99,99,1,2,99,,1,2,3,2,1,1,1200,1000,9,2,2,2,2,2,2,2,2,2,5,1,1,1,1,1,2,1,2,1,3,1,1,3,3,2,2,1,4,99,99,99,99,99,1,99,99,99,99,99,99,99,99,2,1,99,99,99,2,99,2,1000,2,2,3,2,1,1,4,3,3,3,5,,,,,,2,,,,2,2,2,1,1,1,3,3,3,3,1,2,1,2,3,3,5,3,4,2,1,3,99,3,1,,2,3,2,3
10044490,2023,2,3,4,2,2,2,2,2,2,1,1,2,3,1,3,4,1,1,77,1,4,2,2,3,100000,100000,2,,4,2,2,2,2,2,2,5,5,,,4,2,1,2,2,2,1,4,2,1,5,4,5,4,4,4,2,1,1,4,5,1,1,3,2,5,3,3,4,5,2,1,3,3,1,2,2,2,10000,2,3,2,2,1,1,4,2,4,3,6,,,,,,2,,,,2,1,1,1,1,1,3,2,2,3,5,2,1,2,4,3,1,3,2,2,1,3,1,1,1,,1,4,1,0
10044520,2023,2,3,2,3,1,3,3,3,1,2,1,1,3,2,2,2,1,3,1,1,4,2,2,2,10000,10000,9,2,3,3,2,3,2,2,2,5,6,,,3,2,1,3,2,2,1,4,5,4,6,5,5,5,5,5,3,3,3,4,3,3,3,5,5,5,5,5,5,5,3,1,2,3,1,2,2,2,10000,2,3,2,2,1,1,3,2,2,4,1,1,3,4,2,6,1,2,2,2,2,2,2,1,1,1,4,4,4,4,4,2,1,2,3,3,2,3,1,2,1,2,,3,3,2,2,6,1,4
10044540,2023,2,2,2,3,1,1,1,1,1,2,1,1,1,2,1,1,2,,1,1,5,1,1,1,100000,100000,2,,4,2,2,2,2,2,2,6,6,,,4,2,2,2,2,2,1,5,,,6,5,5,5,5,5,4,1,1,5,2,1,2,2,5,5,4,5,5,5,2,1,2,3,1,2,1,2,100000,,4,4,5,,2,1,2,4,3,1,0,4,4,1,5,2,,,,1,1,1,2,2,1,4,4,4,4,3,2,1,2,3,3,3,2,2,2,1,2,,4,2,2,2,99,2,3
10044560,2023,2,2,5,1,1,1,1,1,1,2,2,1,1,2,1,1,2,,1,1,5,3,2,2,100000,100000,1,,4,4,1,2,2,2,2,6,6,,,4,2,2,2,2,2,2,5,,,7,5,5,5,5,4,4,4,4,5,4,2,1,5,5,5,5,5,5,5,2,2,2,1,1,1,1,2,10000,2,4,3,2,1,4,1,2,2,4,1,0,4,5,3,7,2,,,,1,1,1,2,1,1,4,4,4,4,4,2,1,2,4,3,1,3,1,2,1,2,,4,2,2,2,8,2,0
10044580,2023,1,3,3,2,1,2,1,1,1,1,2,2,3,1,3,2,1,3,2,2,3,1,1,2,1200,1000,9,2,3,3,2,2,2,2,2,4,6,6,6,3,2,1,2,1,1,1,4,2,2,6,3,4,4,5,4,3,2,1,2,2,1,2,2,4,2,2,5,4,4,2,2,2,2,2,2,2,2,1000,2,3,3,4,6,1,1,1,3,3,2,1,3,4,2,,1,2,2,2,1,1,1,1,1,1,2,2,2,2,6,2,1,2,2,3,1,3,1,2,1,1,,2,2,2,1,6,1,0
10044700,2023,3,3,1,3,1,1,3,1,1,1,1,1,1,2,2,2,1,3,1,2,3,1,1,2,1100,1000,9,2,3,2,2,2,2,2,2,5,5,,,2,2,1,1,1,1,1,1,1,2,5,4,5,4,4,5,3,3,1,3,3,2,2,4,1,4,4,5,4,5,3,2,2,3,1,2,2,1,1000,2,2,2,3,6,1,2,3,3,1,2,1,3,3,2,,1,2,2,2,2,1,2,1,1,1,1,1,1,2,6,2,1,2,2,3,2,3,4,1,2,4,1,1,3,1,2,1,2,3
10044710,2023,1,2,1,2,1,2,3,1,2,2,2,2,2,1,2,3,2,,77,1,4,2,2,2,100000,100000,3,,4,2,2,2,2,2,2,5,6,,,4,2,2,2,2,2,1,5,,,7,4,5,5,5,5,1,3,3,4,3,1,3,4,5,5,5,5,5,5,2,1,2,3,2,1,1,2,1000,2,4,3,4,1,1,1,4,3,4,1,1,4,5,1,4,2,,,,2,1,2,1,1,1,2,2,2,2,1,2,1,2,3,3,5,2,1,2,1,1,,2,2,2,2,7,1,3
10044750,2023,1,2,2,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,2,3,2,2,2,99,10000,10000,9,1,1,1,1,3,99,99,99,2,5,6,6,1,1,1,1,2,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,4,2,4,4,4,4,3,1,2,2,1,99,2,1,10000,1,1,99,6,,1,1,3,3,4,1,0,1,4,2,8,1,1,2,2,99,99,99,1,99,99,1,1,1,1,6,1,1,1,1,3,2,1,1,2,2,4,2,1,3,3,2,1,2,4
10044800,2023,2,4,2,2,1,1,3,1,1,2,99,1,3,2,2,1,1,3,1,2,1,1,1,1,1100,1000,9,1,2,2,99,99,99,99,99,3,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,4,4,1,5,1,1,1,2,1,1,1,5,1,5,1,5,5,5,2,2,2,2,2,2,2,2,1000,2,2,3,2,1,1,4,1,1,1,3,,,,,,2,,,,2,1,1,1,1,1,3,3,2,1,3,2,1,2,4,3,1,3,4,1,1,3,2,3,3,2,2,99,2,2
10044830,2024,1,1,2,2,1,1,3,3,1,1,2,2,3,1,2,1,1,3,2,1,5,1,1,3,70000,70000,9,,4,2,99,99,99,99,3,6,6,,,4,2,2,2,2,2,1,5,,,7,5,5,5,4,5,1,1,1,1,2,1,3,5,5,5,5,5,5,5,2,1,3,2,1,2,2,2,100000,,4,4,6,,4,1,4,1,3,3,,,,,,1,2,2,2,2,2,2,2,1,1,4,4,4,3,4,2,1,2,3,3,5,3,2,2,1,1,,3,3,2,2,8,2,1
10044880,2023,2,4,3,1,1,1,1,1,1,2,2,1,1,2,1,1,1,3,1,3,2,2,2,2,100000,100000,3,,2,2,2,1,2,2,2,6,6,,,1,2,1,1,1,1,1,3,1,1,7,5,5,5,5,5,3,2,2,3,3,2,1,5,5,5,5,5,5,5,2,2,3,3,1,2,2,99,100000,,2,2,2,4,4,4,2,2,2,1,0,3,4,1,7,1,2,2,2,2,1,1,1,1,2,3,3,2,3,6,1,1,2,2,3,3,2,1,2,1,2,,4,3,2,1,4,2,1
10044930,2023,3,3,5,1,1,3,1,1,1,2,1,1,1,2,3,1,2,,1,2,3,2,2,2,100000,100000,3,,2,2,2,2,2,2,2,5,6,,,2,2,1,2,1,2,1,3,4,2,5,3,5,3,3,5,5,1,3,4,5,2,2,5,5,5,5,5,5,5,2,2,2,3,2,2,2,2,1000,2,3,3,5,,1,1,3,3,2,6,,,,,,2,,,,2,1,1,2,1,1,4,4,4,4,5,2,1,2,1,3,4,3,4,2,1,2,,3,3,3,1,4,1,0
10044960,2023,2,2,2,3,1,1,1,1,1,1,1,2,3,1,3,1,1,3,3,2,2,2,2,2,10000,10000,9,2,2,1,2,3,2,2,2,3,4,1,1,1,2,1,1,1,1,1,2,1,1,2,2,4,2,2,2,1,1,1,2,1,1,1,3,4,5,4,5,2,5,2,1,2,2,2,2,2,2,10000,2,2,1,2,1,4,2,3,1,1,1,1,1,2,1,6,1,1,2,2,1,1,1,1,1,1,3,1,1,2,4,2,1,2,4,3,1,3,4,2,1,3,99,3,3,2,1,4,1,1
10045050,2023,2,4,1,3,1,1,3,1,1,2,1,1,3,2,2,2,2,,1,2,2,2,1,1,1100,1000,9,1,2,3,2,2,2,2,2,5,5,,,2,2,1,1,1,1,1,2,1,1,6,3,5,4,4,3,1,1,1,4,3,1,4,5,5,4,4,5,5,5,3,1,2,2,2,2,2,1,1000,99,99,99,99,,99,99,99,99,99,99,,,,,,99,,,,1,1,1,1,1,1,1,4,3,1,1,2,1,2,2,3,5,3,3,2,1,2,,3,1,,3,99,2,1
10045060,2023,3,3,4,3,1,2,1,1,2,2,2,1,1,1,2,3,2,,1,1,2,2,2,3,1100,1000,9,1,3,2,2,2,2,2,2,3,1,2,2,1,2,1,1,1,1,1,1,4,2,2,3,4,1,2,2,3,2,3,2,2,1,1,4,1,4,1,5,4,5,2,99,99,99,99,99,99,1,1000,2,1,3,1,2,4,1,1,3,1,2,0,1,1,1,,2,,,,2,1,2,1,1,1,4,2,3,4,4,2,2,2,3,3,3,3,2,2,1,2,,4,2,2,1,3,2,4
10045090,2023,2,3,2,2,1,1,1,1,1,2,1,1,1,99,4,1,1,3,1,2,2,1,2,2,10000,10000,9,2,1,1,99,3,99,99,99,1,1,6,6,1,1,1,1,1,1,1,1,3,2,1,2,1,3,4,2,1,1,1,1,1,1,1,5,4,5,1,5,1,3,2,1,3,3,2,2,2,2,10000,2,1,1,2,4,3,1,3,3,2,1,1,3,3,2,6,1,2,2,2,2,2,1,1,1,1,99,99,2,4,3,1,9,99,4,3,3,1,4,2,1,2,,4,3,3,1,5,2,1
10045110,2023,1,1,2,2,1,2,2,1,2,1,1,1,2,1,3,3,1,1,77,2,1,1,1,1,1100,1000,9,1,2,2,2,1,2,2,2,3,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,3,1,2,3,1,1,1,1,2,1,3,4,1,5,4,5,5,5,2,1,2,2,2,2,2,2,10000,2,2,1,2,1,4,4,1,1,1,1,0,1,3,1,7,1,1,1,2,2,2,2,1,1,1,1,1,1,1,3,2,1,2,4,3,1,3,4,2,1,1,,1,3,2,1,8,1,3
10045150,2023,2,2,2,2,3,2,2,1,2,1,1,1,2,1,4,4,1,3,2,3,1,2,2,3,1100,1000,9,1,1,2,2,2,2,2,2,2,5,1,1,1,1,1,1,99,99,1,1,1,1,1,2,1,1,1,4,1,1,1,1,3,1,2,5,2,4,5,5,4,4,2,1,3,3,2,2,2,2,1000,1,1,1,1,1,1,4,4,4,1,1,0,2,1,1,6,1,1,1,1,2,2,1,1,1,1,1,1,2,3,4,2,1,2,3,3,3,3,1,2,1,3,1,1,3,2,2,8,2,2
10045170,2024,2,3,2,2,3,2,1,1,2,2,1,1,2,1,3,4,1,1,1,2,1,2,2,2,20000,20000,9,2,1,1,1,99,99,99,99,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,2,2,1,1,1,1,1,1,2,1,2,5,2,5,2,1,2,2,2,2,1,2,1000,2,2,4,6,,1,2,1,1,1,1,0,1,2,1,3,1,1,1,2,1,1,2,2,2,1,1,2,2,1,2,2,1,2,3,3,1,3,3,2,2,1,,2,3,2,1,7,1,4
10045220,2024,2,2,2,1,1,1,3,1,1,2,1,1,1,2,2,1,2,,1,1,5,1,1,1,100000,100000,2,,3,3,2,2,2,2,2,5,6,,,3,2,1,2,2,2,1,4,5,5,6,4,5,5,5,5,5,1,2,4,4,2,2,5,5,5,5,5,5,5,2,1,2,3,2,2,1,2,1000,2,2,2,3,1,1,2,2,3,4,2,0,3,4,2,,2,,,,1,1,1,2,1,1,3,3,3,3,6,2,1,2,3,1,1,3,2,2,1,3,2,3,2,2,2,4,2,99
10045390,2023,2,2,2,3,1,2,2,1,1,1,2,2,2,1,2,2,1,3,2,2,3,2,2,3,30000,30000,9,2,3,2,2,2,2,2,2,4,5,1,1,2,1,1,2,1,1,1,3,2,2,2,3,5,4,3,3,2,2,1,2,2,1,1,5,5,5,5,5,5,5,2,1,3,3,2,2,2,2,30000,2,1,1,2,1,1,1,2,1,1,1,1,2,3,2,7,2,,,,1,1,1,2,2,1,2,2,2,3,5,2,1,2,3,3,1,3,1,1,1,3,1,3,2,2,2,8,1,0
10045400,2023,2,4,3,3,1,1,1,1,1,1,1,1,1,2,2,1,1,3,77,2,2,2,2,1,10000,10000,9,2,2,1,2,3,2,2,2,4,6,4,6,2,2,1,1,1,2,1,4,4,3,3,5,5,5,5,3,4,1,2,1,3,2,3,5,5,5,5,5,5,5,3,2,2,2,2,2,2,2,10000,2,2,2,2,4,4,4,3,3,2,6,,,,,,2,,,,2,1,1,1,1,1,3,2,2,2,6,1,1,2,3,1,1,1,1,2,2,1,,3,1,,2,2,2,0
10045430,2023,2,3,3,3,3,2,1,1,2,2,2,1,3,2,4,4,2,,77,2,2,2,2,3,1300,1000,9,1,2,2,99,99,99,99,99,5,1,,,2,2,1,1,1,1,1,2,3,3,1,1,1,1,1,1,1,5,5,1,1,2,1,1,1,4,2,5,5,5,2,2,3,2,1,2,2,1,1000,1,3,1,2,2,1,1,3,3,1,1,0,1,1,2,6,2,,,,2,1,1,1,1,1,1,4,1,1,3,2,2,2,2,3,2,3,4,2,1,3,99,3,2,2,2,7,1,2
10045590,2023,2,2,2,3,1,3,1,1,1,1,1,1,1,2,1,1,2,,2,3,2,1,1,1,100000,100000,3,,3,3,2,2,2,2,2,6,2,,,2,2,1,1,1,1,1,2,1,1,1,2,5,2,2,5,1,1,1,4,4,1,1,5,2,2,2,5,5,5,2,2,3,3,1,2,2,2,100000,,2,1,1,6,1,2,3,3,1,6,,,,,,1,1,2,2,2,2,1,1,1,1,3,3,3,3,6,2,2,2,2,1,1,3,1,2,2,3,1,5,3,1,1,1,2,4
10045650,2023,2,3,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,,1,2,3,1,1,1,1200,1000,9,1,1,1,2,2,2,2,2,2,2,1,6,2,1,1,3,2,2,1,3,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,1,3,3,2,2,2,2,1000,1,1,1,1,1,1,4,4,1,1,1,1,4,4,4,7,1,2,2,2,1,2,2,1,1,1,3,3,2,4,4,2,2,2,4,3,1,2,1,99,1,3,2,5,3,3,2,8,1,3
10045700,2023,2,2,2,2,1,2,1,1,1,2,2,1,3,1,2,2,2,,1,99,2,2,2,2,40002,40002,9,2,2,2,2,2,2,2,2,4,4,1,1,2,2,1,2,1,99,1,2,2,2,2,3,4,3,5,4,2,2,1,2,3,1,3,3,2,2,2,5,3,5,2,2,3,3,2,2,2,2,1000,2,2,2,2,1,1,3,4,4,2,1,1,2,4,2,4,2,,,,1,1,1,2,1,2,2,2,2,99,1,1,2,99,99,1,1,1,4,2,1,3,2,3,2,2,3,3,2,2
10045720,2024,2,3,3,3,1,1,1,1,1,2,2,1,1,2,2,2,1,3,1,99,4,1,2,1,10000,10000,9,2,2,2,2,3,2,2,2,5,6,,,3,2,99,,99,99,1,4,,,6,4,5,5,5,5,4,4,2,4,4,2,2,5,5,5,5,5,5,5,2,2,2,3,1,2,2,2,10000,2,3,3,4,1,1,3,2,3,3,3,,,,,,2,,,,1,1,1,2,2,1,2,2,3,3,2,2,1,2,2,3,5,3,4,2,1,2,,3,1,,2,2,1,1
10045760,2024,1,3,1,2,1,1,1,3,2,1,2,1,1,2,3,4,2,,77,2,1,1,1,3,1100,1000,9,1,1,1,2,2,2,2,2,2,1,6,6,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,5,5,4,2,1,1,2,1,2,2,1,10000,2,2,1,2,6,1,3,3,1,1,5,,,,,,2,,,,2,2,2,1,1,1,1,2,2,1,3,2,1,2,1,3,4,3,2,2,2,1,,2,2,2,2,1,2,3
10045850,2023,2,4,3,1,1,1,1,1,1,2,2,1,1,2,1,1,2,,1,1,4,1,2,2,10000,10000,9,2,3,1,2,3,2,2,2,5,6,,,2,2,1,2,1,1,1,3,5,1,5,4,5,5,4,4,2,2,1,1,3,2,1,3,1,2,2,3,5,5,3,2,2,1,1,2,2,2,10000,2,1,1,2,6,4,2,2,1,2,6,,,,,,2,,,,1,1,1,2,2,2,4,3,3,4,6,1,1,2,4,3,1,3,1,2,1,3,2,3,1,,1,4,2,0
10045880,2024,3,4,5,2,2,2,1,2,2,2,1,2,2,1,3,4,1,1,1,2,1,1,1,1,1100,1000,9,1,2,1,2,2,2,2,2,4,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2,4,1,3,4,3,4,1,4,3,3,3,5,4,2,3,5,4,4,2,2,2,2,2,2,2,1,100000,,3,3,5,,1,1,1,3,1,6,,,,,,2,,,,2,1,1,1,1,2,1,2,2,1,4,2,3,2,4,3,1,1,3,2,1,1,,2,2,2,1,8,1,0
10045930,2023,2,4,1,2,1,2,1,1,1,1,2,1,2,1,2,2,1,1,77,1,1,1,1,1,50000,50000,9,,2,2,3,2,2,2,2,4,4,1,1,2,2,2,3,2,2,1,4,,,6,4,5,5,5,5,3,5,1,5,4,1,3,5,5,5,5,5,5,5,3,1,2,2,1,1,2,99,50000,,2,2,2,1,3,3,3,4,4,1,0,2,5,1,2,2,,,,1,1,1,1,1,1,3,2,3,3,1,2,1,2,4,3,5,3,4,2,1,3,1,3,2,2,1,8,1,3
10046090,2023,2,4,2,1,1,1,3,1,1,2,1,1,3,1,2,1,2,,1,2,2,1,2,1,80000,80000,9,,2,2,2,2,3,2,2,4,4,3,3,2,2,1,1,1,1,1,4,2,3,2,5,5,5,3,3,1,2,1,2,2,1,2,3,2,2,4,5,4,5,3,2,3,3,1,2,2,2,80000,,1,1,2,3,1,1,3,3,2,1,0,2,4,2,8,2,,,,1,2,2,1,1,1,2,1,2,99,6,2,3,2,4,3,1,1,1,2,2,2,,4,2,2,1,99,1,0
10046180,2023,2,3,4,1,1,1,1,1,1,2,2,1,1,2,1,1,2,,1,1,3,1,1,1,10000,10000,9,2,3,2,2,3,2,2,2,5,6,,,3,2,1,2,2,2,1,3,3,2,3,5,5,5,5,4,2,1,2,2,1,1,2,3,2,2,2,5,2,5,2,2,2,3,2,2,2,2,10000,2,2,2,3,4,3,2,2,1,2,4,,,,,,1,2,2,2,1,1,1,2,1,2,4,4,4,4,4,1,4,2,4,3,1,1,3,2,2,4,2,5,2,1,1,8,1,1
10046190,2023,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,,1,1,3,1,1,2,1200,1000,9,2,3,3,2,2,2,2,2,5,6,,,3,1,1,2,1,2,1,4,1,1,6,5,5,5,5,5,4,4,1,4,1,2,3,5,5,5,5,5,5,5,2,1,2,3,2,2,2,2,1000,2,2,2,2,1,1,4,2,3,2,6,,,,,,2,,,,1,1,1,2,1,1,4,4,4,4,4,2,1,2,4,3,1,3,4,2,1,2,,4,1,,1,5,1,0
10046270,2023,1,2,2,1,1,1,1,1,1,2,2,1,99,99,2,1,2,,1,2,4,2,2,3,100000,100000,3,,4,2,2,2,2,99,2,6,6,,,3,2,1,2,99,2,1,4,2,2,6,5,5,5,5,3,2,1,1,3,1,2,2,5,5,5,5,5,5,5,2,1,2,3,2,2,2,2,1000,1,1,1,1,1,1,4,2,1,1,2,0,4,5,2,,2,,,,1,1,1,1,1,1,4,3,99,3,5,2,1,2,4,3,1,3,4,2,1,2,,3,2,2,1,8,1,0
10046300,2023,2,3,4,1,1,3,3,3,2,1,1,2,1,2,4,4,1,1,1,2,1,1,1,1,1300,1000,9,1,2,2,2,2,2,2,2,5,4,,,1,2,1,1,1,1,1,1,1,1,1,3,5,4,4,4,2,3,2,5,3,1,1,5,4,5,3,5,4,5,2,2,3,3,2,2,2,1,100000,,1,2,5,,1,4,1,1,1,99,,,,,,2,,,,2,2,2,1,1,1,2,3,1,1,4,2,2,2,1,3,4,99,1,2,2,3,2,3,1,,2,1,1,3
10046310,2023,3,4,4,3,3,2,2,3,1,2,2,2,3,2,3,2,1,3,77,2,3,3,3,3,10000,10000,9,99,2,2,99,3,99,99,99,2,2,5,5,1,1,1,1,1,1,1,3,2,2,2,3,1,4,4,4,2,4,1,4,1,2,1,4,2,4,1,5,1,4,2,2,3,2,2,2,1,1,10000,99,2,1,3,5,1,1,1,4,1,1,0,1,2,1,99,2,,,,1,1,1,1,1,1,2,2,3,2,1,2,3,2,2,3,5,1,4,2,1,4,99,3,3,3,3,3,1,2
